FinalAudit,site,boxNumber,nestAttempt,Species,currentNestStatus,dateLastChecked,comments,firstEggLayDate,lastEggLayDate,lastEggLayDateCertainty1/0,eggWeight,numberEggsWeighed,weighDate,accidentalBreakage,finalClutchSize,IncubationConfirmed,incubationStartDate,checkHatchingDate,actualHatchDate,hatchCertainty1/0,numberEggsNotViable,faecalSample_Day-8,faecalSample_Day-15,BroodSize.D8,BroodSize.D15,expectedAdultTrappingDate,actualMaleTrappingDate,actualFemaleTrappingDate,trappingStatusTU/TN,numberTrapAttemptsM,maleID,maleColourRing,pitIDM,numberTrapAttemptsF,femaleID,femaleColourRing,pitIDF,expectedPullusRingingDate,actualPullusRingingDate,totalPullusRinged,numberPullusNotRinged,numberFledged,numberDeadPreRinged,preRingedDeadID,numberDeadPostRinged,postRingedDeadID,dateNestCleaned,site+boxNumber,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,
,CB,1,,,Nest collected,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CB1,,,,,,,,,N0,,,,,,,N0,,,,,,N0,,,,N0,,,,,N0,,,,,,,,,N0,,,,,,,,,,,,,,,N0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CB,2,1,GRETI,,#REF!,,64,67,0,3.6,2,65,0,4,1,68,80,80,1,0,88,95,4,4,91,91,91,,1,PF91033,,0110176C2E,1,NZ05643,GU0,0700EDED32,94,88,4,0,4,0,,,,158,CB2,,,N4,,,,,,N5,,,,,,,N5,,,,,,EN2/EW3.6(2)/NP/CO,,,,EN4/FP/FX/TS/NDX/GRETI,,,,,,,,,gave MWs,MWY-took MWs,YN3/EN1/FP/GRETI/CONTROL,YN4/FP/GRETI,"control, not all MWs taken, swapped to small pot",YN4 control,control,control,control,control,,control,control,,control,control/retrieved VC1102(SD-c3),CONTROL,FS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CB,3,,,,#REF!,"Tree fallen, moved nearby 15/4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,CB3,,,N0,,,,,,NC,,,,,,,N3,,,,,,N5,,,,N5,,,,,N5,,,,,,,,,N5,,,,,,,,,,,,,,,N5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CB,4,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CB4,,,N2,,,,,,N2,,,,,,,N2,,,,,,N2,,,,N0,,,,,N0,,,,,,,,,,N0,,,,,,,,,,,,,,N0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CB,5,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,CB5,,,NC,,,,,,N4,,,,,,,N5,,,N5,,,N5,,,,N5,,,,,N5,,,,,,,,,N5,,,,,,,,,,,,,,,N5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CB,6,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,CB6,,,N0,,,,,,N0,,,,,,,N0,,,,,,N4,,,,N5,,,,,,,,,,,,,,N5,,,,,,,,,,,,,,,N5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CB,7,,,,#REF!,,59,,,1.1,1,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,158,CB7,,,N2,,,,,,N4,,,,,,,EN1/EW1.1(1)/CO/NP,,,EN4/NP/CO,,,EN7/NP/CO,,,,EN8/NP/LW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CB,14,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,CB14,,,N5,,,,,,N5,,,,,,,N5,,,,,,N5,,,,N5,,,,,N3,,,,,,,,,N3,,,,,,,,,,,,,,,N3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CB,15,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CB15,,,N1,,,,,,N1,,,,,,,N1,,,,,,N1,,,,NC,,,,,NC,,,,,,,,,NC,,,,,,,,,,,,,,,NC-OLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CB,17,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,CB17,,,N0,,,,,,NC,,,,,,,NC,,,,,,N0,,,,NC,,,,,NC,,,,,,,,,N3,,,,,,,,,,,,,,,"N1, FACEPLATE FALLEN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CB,18,1,GRETI,,#REF!,,57,61,,4.4,3,59,,,1,66,78,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,158,CB18,,,NC,,,,,,N2,,,,,,,EN3/EW4.4(3)/CO/NP,,,EN5/NP/CO,,,EN5/NP/CO,,,,EN5/TS/GRETI,,,,,,"Gave MWs, big pot",MWs not taken,MWX,EN5/FA/GRETI/MWX,EN5/NP/CO/MWX,EN5/NP/CO/MWX,EN5/NP/CO/MWX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CB,19,1,GRETI,,#REF!,,88,94,0,5.4,4,102,0,7,0,93,105,106,1,3,114,121,0,0,117,,,,,,,,,,,,120,,0,4,0,4,"A, B, C, D",0,,158,CB19,,,N2,,,,,,N1,,,,,,,N2,,,,,,N2,,,,N2,,,,,N2,,,,,,,,,,N2,,,,,,,,,,,,,,EN7/WA/FP/GRETI,,,,EN7/EW5.4(4)/NP/WA/gave small pot,MWY,,EN7/WA/NP/MWY,YN2/DY1/EN4/NP/probiotic,YN2/EN4/NP/PROBIOTIC,"YN3/EN3/MWX/probiotic chicks barely alive, broke up MWs in case too large",DY3/EN3/MWX/NP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CB,23,1,GRETI,,#REF!,"Fallen, replaced 15/4. Needs fixing.",61,64,0,6.9,4,65,0,4,1,66,78,80,1,0,88,95,4,4,91,,92,,1,,,,1,PF91038,,0700EE12C6,94,88,4,0,4,0,,,,158,CB23,,,N0,,,,,,N1,,,,,,,N4,,,,,,EN4/EW6.9(4)/NP/CO,,,,EN?/TS/NDX/GRETI,,,,,"Gave MWs, small pot",MWs taken,MWs taken,MWs taken,,EN4/FL/GRETI/MWY,YN4/FA/GRETI control,control,control,control,control,control,,control,,control,control,control,control+FS female,control,control,control+FS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CB,26,1,GRETI,,#REF!,,54,59,0,6,4,59,,6,1,60,72,74,1,0,82,89,4,2,85,90,90,,,PF91021,,,,PF91020,,,88,"82, 89",3,1,2,3,"C/D?, E,F ",1,TX52571,158,CB26,,,N1,,,,,,N4,,,,,,,EN6/EW6(4)/CO/NP,,,EN?/TS/ND/GRETI,,,FP/GRETI,,,,,,,EN5/FP/ND,"EN5/FP. MWs not taken, moved to face.",YN5/EN1 0.1G Trehalose+50 MWs,YN6,Gave control,control,control,control,control,control,YN4 control,control,control,control YN4,control,,control,YN2/DY2+FS,FS/control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CB,28,,,,#REF!,Cant find.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CB28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CB,29,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,CB29,,,NC,,,,,,NC,,,,,,,NC,,,,,,NC,,,,NC,,,,,N0,,,,,,,,,N0,,,,,,,,,,,,,,,N0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
