Extraction_number,Tube_number,Bird_ID,Sample_day,Sample_ID,Nest_ID,Date_sampled,Date_extracted (FINISHED),Qubit (ng/uL),Used in test,Notes,,
1,1,TX52554,D8,KB10.C.D8,,,21/09/2022,0.124,,,,NOTE: Ensure bird ID and sample ID here match birdID sheet
2,2,TX52568,D8,KB29.C.D8,,,21/09/2022,13.6,,,,NOTE: Ensure sample IDs don’t have extra or missing zero. Make nest abbrev consistent e.g. KB04 or KB4
3,3,PF91015,,KB25.A.D15,,,21/09/2022,0.745,,,,
4,4,TW15218,,KB15.M,,,21/09/2022,0,,,,
5,5,TX52561,,KB908.A.D15,,,21/09/2022,6.42,,,,
6,6,PF91024,,IN1.B.D15,,,21/09/2022,1.42,,,,
7,7,TX52579,,KB158.A.D8,,,21/09/2022,2.02,,,,
8,8,PF91015,,KB25.A.D8,,,21/09/2022,0.824,,,,
9,9,PF91066,,DW11.C.D8,,,21/09/2022,4.88,,,,
10,10,TX52600,,KB910.E.D8,,,21/09/2022,25.1,,,,
11,11,PF91019,,CB62.M,,,21/09/2022,20.9,,,,
12,12,PF91041,,DW15.B.D15,,,21/09/2022,0,,,,
13,13,TX52562,,KB908.B.D8,,,21/09/2022,1.72,,,,
14,14,PF91056,,KB151.D.D8.alt,,,21/09/2022,5.53,,,,
15,15,PF91069,,DW49.B.D15,,,21/09/2022,0,,,,
16,16,TX52581,,KB22.B.D8,,,21/09/2022,0.26,,,,
17,17,PF91003,,CB2.B.D15,,,21/09/2022,0,,,,
18,18,PF91077,,DW46.B.D8,,,21/09/2022,4.4,,,,
19,19,TX52588,,KB20.A.D8,,,21/09/2022,0.12,,,,
20,20,TX52577,,IN8.A.D15,,,21/09/2022,0.406,,,,
21,21,PF91086,,DW8.B.D15,,,21/09/2022,2.85,,,,
22,22,TX52560,,KB15.F.D15,,,21/09/2022,46.3,,,,
23,23,PF91023,,IN1.A.D15,,,21/09/2022,,,,,
24,24,extractionControl1,,extractionControl1,,,21/09/2022,0,,Blank control. Started extraction with kit tube but without sample material.,,
25,1,TX52552,,KB10.A.D8,,,22/09/2022,,,Fire alarm went off so before CD3 step so samples sitting at CD2 step for 30-40 mins.,,
26,2,TX52562,,KB908.B.D8,,,22/09/2022,,,Fire alarm.,,
27,3,PF91070,,DW49.C.D8,,,22/09/2022,,,Fire alarm.,,
28,4,PF91011,,KB29.B.D15,,,22/09/2022,,,Fire alarm.,,
29,5,TX52599,,KB910.D.D8,,,22/09/2022,,,Fire alarm.,,
30,6,PF91030,,CB56.C.D15,,,22/09/2022,,,Fire alarm.,,
31,7,TX52561,,KB908.A.D8,,,22/09/2022,,,Fire alarm.,,
32,8,PF91013,,CB62.E.D15,,,22/09/2022,,,Fire alarm.,,
33,9,PF91071,,DW15.D.D15,,,22/09/2022,,,Fire alarm.,,
34,10,TX52585,,KB04.B.D8,,,22/09/2022,,,Fire alarm.,,
35,11,PF91023,,IN1.A.D8,,,22/09/2022,,,Fire alarm.,,
36,12,UNR,,DW138.A.D8,,,22/09/2022,,,Fire alarm.,,
37,13,,,IN8.B.D8,,,22/09/2022,,,Fire alarm.,,
38,14,PF91027,,IN22.A.D8,,,22/09/2022,,,Fire alarm.,,
39,15,PF91079,,DW46.M,,,22/09/2022,,,Fire alarm.,,
40,16,,,KB15.A.D8,,,22/09/2022,,,Fire alarm.,,
41,17,TX52590,,KB20.C.D15,,,22/09/2022,,,Fire alarm.,,
42,18,PF91080,,DW8.A.D15,,,22/09/2022,,,Fire alarm.,,
43,19,TX52593,,KB916.A.D8,,,22/09/2022,,,Fire alarm.,,
44,20,PF91053,,KB151.A.D8,,,22/09/2022,,,Fire alarm.,,
45,21,PF91059,,DW27.Fe,,,22/09/2022,,,Fire alarm.,,
46,22,PF91004,,CB2.C.D15,,,22/09/2022,,,Fire alarm.,,
47,23,PF91081,,DW8.C.D15,,,22/09/2022,,,Fire alarm.,,
48,24,extractionControl2,,extractionControl2,,,22/09/2022,,,put empty tube in mivac and pipetted cd1 fluid into this tube before starting extraction. Fire alarm.,,
49,1,TX52553,,KB10.B.D8,,,23/09/2022,,,,,
50,2,PF91002,,CB02.A.D8,,,23/09/2022,,,,,
51,3,PF91016,,KB25.B.D15,,,23/09/2022,,,,,
52,4,,,KB10.F,,,23/09/2022,,,this tube was labelled kb10.f but did this double check there was a f bird in this nest,,
53,5,TX52562,,KB908.B.D15,,,23/09/2022,,,contam,,
54,6,PF91039,,DW15.A.D15,,,23/09/2022,,,,,
55,7,TX52556,,KB15.B.D8,,,23/09/2022,,,,,
56,8,PF91006,,CB23.A.D15,,,23/09/2022,,,,,
57,9,PF91029,,CB56.A.D15,,,23/09/2022,,,,,
58,10,TX52590,,KB20.C.D8,,,23/09/2022,,,,,
59,11,PF91016,,KB25.B.D8,,,23/09/2022,,,,,
60,12,PF91073,,DW49.Fe,,,23/09/2022,,,,,
61,13,TX52594,,KB22.Fe,,,23/09/2022,,,,,
62,14,PF91018,,KB22.E.D15,,,23/09/2022,,,,,
63,15,PF91065,,DW11.D.D15,,,23/09/2022,,,,,
64,16,S873503,,KB908.Fe,,,23/09/2022,,,,,
65,17,PF91042,,DW15.C.D8,,,23/09/2022,,,,,
66,18,PF91076,,DW46.C.D15,,,23/09/2022,,,,,
67,19,TX52564,,KB908.D.D8,,,23/09/2022,,,,,
68,20,PF91044,,IN25.Fe,,,23/09/2022,,,,,
69,21,PF91065,,DW11.D.D8,,,23/09/2022,,,,,
70,22,TX52559,,KB15.E.D8,,,23/09/2022,,,,,
71,23,PF91057,,IN22.Fe,,,23/09/2022,,,,,
72,24,PF91031,,CB56.B.D15,,,23/09/2022,,,,,
73,1,TX52558,,KB15.D.D8,,,27/09/2022,,,,,
74,2,TX52598,,KB910.C.D8,,,27/09/2022,,,,,
75,3,PF91064,,DW11.A.D8,,,27/09/2022,,,,,
76,4,TX52573,,CB62.B.D8,,,27/09/2022,,,,,
77,5,TX52558,,KB15.D.D15,,28/05/2021,27/09/2022,,,,,
78,6,PF91027,,IN22.A.D15,,06/06/2021,27/09/2022,,,,,
79,7,TX52586,,KB04.A.D8,,,27/09/2022,,,,,
80,8,TX52572,,CB62.A.D15,,28/05/2021,27/09/2022,,,,,
81,9,PF91034,,DW27.A.D15,,,27/09/2022,,,Was on this sheet as incorrectly 'DW27.C.D15' but tube labelled Dw27.A,,
82,10,TX52571,,CB26.A.D8,,,27/09/2022,,,,,
83,11,PF91036,,DW27.C.D8,,30/05/2021,27/09/2022,,,,,
84,12,PF91056,,KB151.D.D15,,,27/09/2022,,,,,
85,13,NZ05874,,KB10.M,,20/05/2021,27/09/2022,,,,,
86,14,TX52582,,KB22.C.D15,,,27/09/2022,,,,,
87,15,PF91069,,DW49.B.D8,,,27/09/2022,,,,,
88,16,S842652,,IN8.Fe,,24/05/2021,27/09/2022,,,,,
89,17,PF91035,,DW27.B.D8,,,27/09/2022,,,,,
90,18,PF91075,,DW46.E.D15,,,27/09/2022,,,,,
91,19,PF91009,,CB23.D.D8,,27/05/2021,27/09/2022,,,,,
92,20,PF91054,,KB151.B.D8,,,27/09/2022,,,,,
93,21,UNR,,DW8.B.D8,,,27/09/2022,,,,,
94,22,PF91004,,CB2.C.D8,,,27/09/2022,,,,,
95,23,PF91050,,IN1.Fe,,03/06/2021,27/09/2022,,,,,
96,24,PF91080,,DW8.A.D8,,,27/09/2022,,,,,
97,1,TX52555,,KB10.D.D8,,,28/09/2022,,,,,
98,2,PF91001,,KB910.F.D8,,,28/09/2022,,,,,
99,3,PF91054,,KB151.B.D15,,,28/09/2022,,,,,
100,4,PF91011,,KB29.B.D8,,,28/09/2022,,,,,
101,5,UNR,,KB04.D.D8,,23/05/2021,28/09/2022,,,,,
102,6,TX52567,,KB29.A.D15,,28/05/2021,28/09/2022,,,,,
103,7,PF91074,,DW46.A.D15,,,28/09/2022,,,,,
104,8,TX52594,,KB29.M.1,,,28/09/2022,,,"CONTAM, FELL ON PANTS",,
105,9,TX52574,,CB62.C.D15,,,28/09/2022,,,,,
106,10,PF91017,,KB25.C.D15,,,28/09/2022,,,,,
107,11,PF91008,,CB23.C.D8,,,28/09/2022,,,,,
108,12,PF91051,,DW15.M,,04/06/2021,28/09/2022,,,,,
109,13,PF91055,,KB151.C.D15,,,28/09/2022,,,,,
110,14,PF91003,,CB2.B.D8,,,28/09/2022,,,,,
111,15,TW15053,,KB916.Fe,,,28/09/2022,,,,,
112,16,PF91074,,DW46.A.D8,,,28/09/2022,,,,,
113,17,TX52567,,KB29.A.D8,,,28/09/2022,,,,,
114,18,PF91071,,DW15.D.D8,,01/06/2021,28/09/2022,,,,,
115,19,PF91082,,DW8.E.D8,,,28/09/2022,,,,,
116,20,PF91018,,KB22.E.D8,,22/05/2021,28/09/2022,,,,,
117,21,PF91010,,KB15.A.D15,,28/05/2021,28/09/2022,,,,,
118,22,PF91072,,DW11.Fe,,,28/09/2022,,,,,
119,23,TX52588,,KB20.A.D15,,,28/09/2022,,,,,
120,24,PF91064,,DW11.A.D15,,,28/09/2022,,,,,
121,1,TX52572,,CB62.A.D8,,,29/09/2022,,,,,
122,2,TX52559,,KB15.E.D15,,,29/09/2022,,,,,
123,3,PF91035,,DW27.B.D15,,,29/09/2022,,,,,
124,4,TX52580,,KB22.A.D8,,22/05/2021,29/09/2022,,,,,
125,5,TX52564,,KB908.D.D15,,28/05/2021,29/09/2022,,,,,
126,6,PF91070,,DW49.C.D15,,,29/09/2022,,,,,
127,7,TX52582,,KB22.C.D8,,22/05/2021,29/09/2022,,,,,
128,8,PF91029,,CB56.A.D8,,,29/09/2022,,,,,
129,9,PF91083,,DW8.D.D15,,,29/09/2022,,,,,
130,10,TX52578,,IN8.C.D15,,,29/09/2022,,,,,
131,11,TX52589,,KB20.B.D15,,,29/09/2022,,,,,
132,12,PF91036,,DW27.C.D15,,,29/09/2022,,,,,
133,13,TX52574,,CB62.C.D8,,,29/09/2022,,,,,
134,14,PF91055,,KB151.C.D8,,,29/09/2022,,,,,
135,15,PF91068,,DW49.A.D15,,,29/09/2022,,,some ethanol had not evaporated but scraped sample into powerbead tube anyway,,
136,16,TX52557,,KB15.C.D8,,,29/09/2022,,,,,
137,17,TX52570,,CB26.B.D15,,,29/09/2022,,,,,
138,18,PF91028,,IN22.B.D15,,06/06/2021,29/09/2022,,,,,
139,19,TX52587,,KB04.C.D8,,,29/09/2022,,,,,
140,20,PF91020,,CB26.Fe,,29/05/2021,29/09/2022,,,,,
141,21,PF91079,,DW46.M.alt,,,29/09/2022,,,contam,,
142,22,TX52593,,KB916.A.D15,,,29/09/2022,,,,,
143,23,PF91045,,IN25.A.D15,,,29/09/2022,,,,,
144,24,control.3,,control.3,,,29/09/2022,,,used empty screwcap from cupboard. Placed in mivac with other samples while drying. Added C1 to this tube then added C1 to powerbead.,,
145,1,TX52570,,CB26.B.D8,,,30/09/2022,,,,,
146,2,PF91052,,DW15.Fe.2,,,30/09/2022,,,,,
147,3,PF91061,,IN22.C.D15,,,30/09/2022,,,,,
148,4,TX52560,,KB15.F.D8,,,30/09/2022,,,small sample,,
149,5,TX52575,,CB62.D.D15,,28/05/2021,30/09/2022,,,,,
150,6,PF91083,,DW8.D.D8,,,30/09/2022,,,,,
151,7,TX52589,,KB20.B.D8,,,30/09/2022,,,,,
152,8,PF91033,,CB2.M,,30/05/2021,30/09/2022,,,small sample,,
153,9,MW.w/o.ethanol,,MW.w/o.ethanol,,28/06/2021,30/09/2022,,,Mealworms frozen without ethanol. Placed in mivac drier anyway.,,
154,10,TX52576,,IN8.B.D15,,,30/09/2022,,,,,
155,11,NZ05643,,CB2.Fe,,30/05/2021,30/09/2022,,,,,
156,12,PF91082,,DW8.E.D15,,,30/09/2022,,,,,
157,13,TX52596,,KB158.Fe,,26/05/2021,30/09/2022,,,small sample,,
158,14,TX52597,,KB910.B.D8,,,30/09/2022,,,,,
159,15,PF91060,,DW27.M,,,30/09/2022,,,CONTAM,,
160,16,TX52575,,CB62.D.D8,,,30/09/2022,,,,,
161,17,PF91009,,CB23.D.D15,,,30/09/2022,,,,,
162,18,PF91037,,DW27.D.D15,,,30/09/2022,,,,,
163,19,TX52593,,KB29.M.2,,26/05/2021,30/09/2022,,,,,
164,20,TX52591,,KB20.D.D15,,31/05/2021,30/09/2022,,,,,
165,21,PF91046,,IN25.B.D8,,,30/09/2022,,,,,
166,22,PF91062,,KB25.Fe,,,30/09/2022,,,,,
167,23,TX52568,,KB29.C.D15,,28/05/2021,30/09/2022,,,,,
168,24,TX52579,,KB158.A.D15,,,30/09/2022,,,,,
169,1,TX52577,,IN8.A.D8,,,04/10/2022,,,,,
170,2,PF91052,,DW15.Fe.1,,,04/10/2022,,,,,
171,3,PF91063,,DW11.B.D8,,,04/10/2022,,,,,
172,4,VZ80567,,CB20.Fe,,,04/10/2022,,,,,
173,5,TX52573,,CB62.B.D15,,28/05/2021,04/10/2022,,,,,
174,6,PF91046,,IN25.B.D15,,,04/10/2022,,,,,
175,7,TW15303,,KB29.Fe,,,04/10/2022,,,,,
176,8,TX52581,,KB22.A.D15,,,04/10/2022,,,,,
177,9,PF91032,,CB56.D.D15.alt,,,04/10/2022,,,small sample,,
178,10,PF91005,,CB39.B.D8,,,04/10/2022,,,,,
179,11,PF91031,,CB56.B.D8,,,04/10/2022,,,,,
180,12,PF91053,,KB151.A.D15,,,04/10/2022,,,,,
181,13,PF91025,,IN1.C.D8,,_/5/21,04/10/2022,,,,,
182,14,TX52569,,KB29.D.D15,,,04/10/2022,,,,,
183,15,PF91063,,DW11.B.D15,,,04/10/2022,,,,,
184,16,PF91008,,CB23.C.D15,,,04/10/2022,,,,,
185,17,TX52583,,KB22.D.D15,,,04/10/2022,,,,,
186,18,PF91084,,DW8.Fe,,30/06/2021,04/10/2022,,,,,
187,19,TX52563,,KB908.C.D15,,26/05/2021,04/10/2022,,,,,
188,20,PF91021,,CB26.M,,,04/10/2022,,,small sample,,
189,21,PF91085,,DW138.Fe,,,04/10/2022,,,,,
190,22,PF91012,,CB26.X.D15?,,28/05/2021,04/10/2022,,,tube labelled cb26.x.d15?,,
191,23,PF91081,,DW8.C.D8,,,04/10/2022,,,,,
192,24,PF91028,,IN22.B.D8,,,04/10/2022,,,,,
193,25,PF91047,,CB2.D.D15,,,04/10/2022,,,,,
194,26,PF91040,,DW15.E.D8,,,04/10/2022,,,,,
195,27,UNR,,KB910.A.D8,,27/05/2021,04/10/2022,,,,,
196,28,PF91007,,CB23.B.D15,,,04/10/2022,,,,,
197,29,PF91056,,KB151.D.D8,,,04/10/2022,,,,,
198,30,PF91014,,CB62.D.D15,,28/05/2021,04/10/2022,,,,,
199,31,PF91024,,IN1.B.D8,,_/5/21,04/10/2022,,,,,
200,32,powerbead.control,,powerbead.control1,,,04/10/2022,,,put open powerbead tube in mivac with no liquid,,
201,1,TX52563,,KB908.C.D8,,,05/10/2022,,,,,
202,2,PF91038,,CB23.Fe,,31/05/2021,05/10/2022,,,,,
203,3,PF91058,,KB25.D.D15,,,05/10/2022,,,,,
204,4,TX52592,,KB10.E.D8,,,05/10/2022,,,,,
205,5,PF91017,,KB25.C.D8,,,05/10/2022,,,,,
206,6,PF91068,,DW49.A.D8,,08/06/2021,05/10/2022,,,,,
207,7,TX52591,,KB20.D.D8,,,05/10/2022,,,,,
208,8,TW15317,,KB910.Fe,,,05/10/2022,,,,,
209,9,PF91066,,DW11.C.D15,,,05/10/2022,,,,,
210,10,PF91034,,DW27.A.D8,,30/05/2021,05/10/2022,,,,,
211,11,PF91042,,DW15.C.D15,,,05/10/2022,,,,,
212,12,PF91041,,DW15.B.D8,,,05/10/2022,,,,,
213,13,PF91025,,IN1.C.D15,,06/06/2021,05/10/2022,,,,,
214,14,PF91022,,CB62.Fe,,29/05/2021,05/10/2022,,,,,
215,15,MW.W/ETHANOL,,MW.W/ETHANOL,,,05/10/2022,,,"mealworms preserved in ethanol, dried in drier",,
216,16,PF91026,,IN1.D.D8,,_/5/21,05/10/2022,,,,,
217,17,MW.w/ethanol.nodrier,,MW.w/ethanol.nodrier,,,05/10/2022,,,"mealworms preserved in ethanol, pipetted off ethanol and didn’t dry in drier",,
218,18,PF91039,,DW15.A.D8,,,05/10/2022,,,,,
219,19,PF91067,,KB151.M,,07/06/2021,05/10/2022,,,,,
220,20,UNR,,CB39.A.D8,,27/05/2021,05/10/2022,,,,,
221,21,PF91026,,IN1.D.D15,,06/06/2021,05/10/2022,,,,,
222,22,TX52566,,KB908.F.D15,,28/05/2021,05/10/2022,,,,,
223,23,PF91032,,CB56.D.D15,,,05/10/2022,,,contam,,
224,24,PF91030,,CB56.C.D8,,,05/10/2022,,,,,
225,25,PF91078,,DW46.D.D15,,,05/10/2022,,,,,
226,26,TX52565,,KB908.E.D15,,,05/10/2022,,,,,
227,27,TX52556,,KB15.B.D15,,27/05/2021,05/10/2022,,,,,
228,28,VZ80761,,CB39.Fe,,,05/10/2022,,,,,
229,29,TX52580,,KB22.A.D15,,,05/10/2022,,,,,
230,30,PF91045,,IN25.A.D8,,,05/10/2022,,,,,
231,31,PF91049,,CB23.Fe,,03/06/2021,05/10/2022,,,,,
232,32,PF91002,,CB2.A.D15,,,05/10/2022,,,,,
233,33,POWERBEAD.CONTROL.DRIER,,POWERBEAD.CONTROL.DRIER,,,05/10/2022,,,open powerbead tube in drier,,
