"","PD","SR"
"CB02xAxD8xP1",3.65053526434813,21
"CB20xFexP3",31.1848210626364,174
"CB23xAxD15xP1",72.9775839609353,533
"CB23xBxD15xP3",49.9473287081307,289
"CB23xCxD15xP3",82.6393723996664,606
"CB23xCxD8xP2",26.153943287779,166
"CB23xDxD15xP2",59.7615256233455,445
"CB23xDxD8xP1",17.0077236711699,105
"CB26xAxD8xP1",56.589647910457,471
"CB26xBxD15xP2",9.9802687971318,60
"CB26xBxD8xP2",41.4246681387343,327
"CB26xFexP3",16.3125116004744,110
"CB26xMxP3",13.2744200216093,73
"CB2xAxD15xP3",9.3890584951942,46
"CB2xBxD15xP2",13.172174054557,71
"CB2xBxD8xP2",5.81135900219404,23
"CB2xCxD8xP2",25.1104870769532,164
"CB2xDxD15xP3",6.52579606475168,40
"CB2xFexP3",29.5365167382108,189
"CB2xMxP2",5.90044968411581,32
"CB39xAxD8xP3",41.4254631934731,240
"CB39xBxD8xP3",28.4102347438493,236
"CB39xFexP3",5.11802665246803,28
"CB56xAxD15xP1",49.8081922601314,360
"CB56xAxD8xP2",74.5215514211513,612
"CB56xBxD15xP1",30.613246156693,294
"CB56xBxD8xP3",7.1774540296069,43
"CB56xCxD15xP1",71.4046379931203,594
"CB56xCxD8xP3",14.4383927416605,94
"CB62xAxD15xP1",10.8428785157399,54
"CB62xAxD8xP2",19.2845590570414,109
"CB62xBxD15xP3",7.82585718937123,37
"CB62xBxD8xP1",24.5378689234467,130
"CB62xCxD15xP2",13.5372725224659,48
"CB62xCxD8xP2",8.33476636958034,41
"CB62xDxD15xP2",11.8121982658475,68
"CB62xDxD15xP3",7.12142878985519,34
"CB62xDxD8xP2",60.3859496539212,480
"CB62xExD15xP1",36.2042921959586,252
"CB62xFexP3",19.6980849098925,101
"CB62xMxP1",1.96949378625437,10
"DW11xAxD15xP2",33.7224533547209,218
"DW11xAxD8xP1",18.5258652237995,105
"DW11xBxD15xP3",19.3093619815525,111
"DW11xBxD8xP2",17.0279014560934,101
"DW11xCxD15xP3",43.4446285061855,290
"DW11xCxD8xP1",12.344136697002,69
"DW11xDxD15xP1",15.780437936567,98
"DW11xDxD8xP1",27.2515829255046,195
"DW11xFexP2",14.8633640271498,64
"DW138xAxD8xP1",37.2664360378846,294
"DW138xFexP3",7.83079306664431,49
"DW15xAxD15xP2",46.0708828983922,453
"DW15xAxD8xP3",51.0040105716741,325
"DW15xBxD15xP1",66.5454391529035,558
"DW15xBxD8xP3",42.1398378564135,308
"DW15xCxD15xP3",77.3187153302758,693
"DW15xCxD8xP1",42.5435792164373,302
"DW15xDxD15xP1",24.6892997060704,153
"DW15xDxD8xP2",67.374559497703,514
"DW15xExD8xP3",23.6259779989014,196
"DW15xFex1xP2",34.839491357192,294
"DW15xMxP2",10.4129077449902,73
"DW27xAxD15xP1",3.50798341201137,17
"DW27xAxD8xP3",5.04478262410726,22
"DW27xBxD15xP2",10.4554484746118,56
"DW27xBxD8xP1",5.44812433768536,31
"DW27xCxD15xP2",3.34874690093738,14
"DW27xCxD8xP1",2.53584361128895,9
"DW27xDxD15xP2",15.6849985872158,106
"DW27xFexP1",14.8418716991983,123
"DW46xAxD15xP2",54.7925998996222,378
"DW46xAxD8xP2",24.1761180173188,241
"DW46xBxD8xP1",37.6532301578854,349
"DW46xCxD15xP1",27.1978730536189,165
"DW46xDxD15xP3",29.3479663429398,183
"DW46xExD15xP1",24.7683203154862,147
"DW46xMxP1",9.6010121301778,76
"DW49xAxD15xP3",16.1995321849952,74
"DW49xAxD8xP3",47.7270879680613,373
"DW49xBxD15xP1",44.2356679708226,370
"DW49xBxD8xP1",50.9193523760228,386
"DW49xCxD15xP2",32.9109919479857,185
"DW49xCxD8xP1",21.4809410155587,142
"DW8xAxD15xP1",55.9119425743419,441
"DW8xAxD8xP2",13.0097577751667,68
"DW8xBxD15xP1",50.1482799784353,337
"DW8xBxD8xP1",56.5323139431944,387
"DW8xCxD15xP1",24.8863023751676,173
"DW8xCxD8xP3",62.905315411321,543
"DW8xDxD15xP2",45.1470137163544,351
"DW8xDxD8xP2",42.9670974138458,357
"DW8xExD15xP2",23.5513432147262,148
"DW8xExD8xP2",73.856034334832,572
"DW8xFexP3",19.7867198222487,129
"IN1xAxD8xP1",23.5595221517099,162
"IN1xBxD15xP1",58.2951798775386,385
"IN1xBxD8xP3",20.3438647615173,118
"IN1xCxD15xP3",15.4709738436507,111
"IN1xCxD8xP3",19.279525445173,145
"IN1xDxD15xP3",19.292437794062,129
"IN22xAxD15xP1",19.9513889298709,146
"IN22xAxD8xP1",9.47219132582964,53
"IN22xBxD15xP2",4.51144107781087,26
"IN22xCxD15xP2",9.77074920032655,61
"IN22xFexP1",6.07177506474253,38
"IN25xAxD15xP3",33.072718370492,243
"IN25xAxD8xP3",45.2032185896037,309
"IN25xBxD15xP2",16.2651822019755,120
"IN25xBxD8xP2",28.5633956235549,191
"IN25xFexP1",16.4928183749848,99
"IN8xAxD8xP2",30.1649115226402,168
"IN8xBxD15xP2",25.4644548981657,144
"IN8xBxD8xP1",41.1099564221475,248
"IN8xCxD15xP2",6.93427509180604,32
"IN8xFexP1",21.5062621389302,135
"KB04xAxD8xP1",17.3345777025873,121
"KB04xBxD8xP1",48.4874225320564,368
"KB04xCxD8xP3",12.1510416289624,121
"KB04xDxD8xP2",7.15685190671176,38
"KB10xAxD8xP1",20.0000883697047,131
"KB10xBxD8xP1",3.68291481237019,11
"KB10xCxD8xP2",9.89741589447532,36
"KB10xDxD8xP2",13.55980893131,124
"KB10xFxP2",5.8988188993075,27
"KB10xMxP2",6.48777665013354,35
"KB151xAxD15xP3",21.826498121923,131
"KB151xBxD15xP2",22.1161789506945,117
"KB151xBxD8xP1",2.99880017044011,11
"KB151xCxD15xP2",12.4942253751996,81
"KB151xCxD8xP2",4.98444486048017,23
"KB151xDxD15xP1",13.5708881195068,82
"KB151xDxD8xP3",21.4360884757136,121
"KB151xMxP3",4.51950665982558,27
"KB158xAxD15xP2",35.993007094507,240
"KB158xAxD8xP1",46.7210284360083,350
"KB158xFexP2",14.6266044068971,120
"KB15xAxD15xP2",16.6341646154792,101
"KB15xAxD8xP1",95.125990300859,813
"KB15xBxD15xP3",15.9091565479519,114
"KB15xBxD8xP1",26.8057936780715,186
"KB15xCxD8xP2",6.9632567157041,32
"KB15xDxD15xP1",4.32725354695277,34
"KB15xDxD8xP1",27.8357887242389,140
"KB15xExD15xP2",16.3980318608291,94
"KB15xExD8xP1",27.0180940378787,153
"KB15xFxD8xP3",8.96287074042535,41
"KB15xMxP1",5.73579873594845,29
