feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV46	Age.category	D15	1.51238978541981	0.345708773003901	201	51	2.08231573343707e-05	0.0071839892803579
ASV1	Age.category	D15	1.96286167770564	0.498314188883421	201	176	0.000117875071979726	0.013845606942184
ASV163	Age.category	Adult	2.12362887862323	0.541053342640444	201	43	0.000120396582105948	0.013845606942184
ASV4	Age.category	D15	-1.45229501774703	0.387179539642775	201	55	0.000236807607010576	0.0204027002351262
ASV12	Age.category	Adult	2.43248821791627	0.672823359625105	201	53	0.000387255271904587	0.0204027002351262
ASV27	Treatment	L. kimchicus	2.09867242577926	0.515069043218103	201	50	0.000464348408681684	0.0204027002351262
ASV109	Age.category	D15	1.47939040748439	0.415519878669139	201	61	0.000473106092408722	0.0204027002351262
ASV264	Age.category	D15	0.552648966392908	0.152644219163181	201	30	0.000377825677523131	0.0204027002351262
ASV42	Age.category	D15	1.65291083551385	0.490161005488482	201	81	0.000915314099182049	0.0350870404686452
ASV163	Treatment	L. kimchicus	1.18875015504568	0.356737750115914	201	43	0.00103152473805087	0.0355876034627549
ASV166	Age.category	D15	0.835157549183817	0.261369684757108	201	26	0.00164374228331826	0.0462578179641454
ASV462	Age.category	D15	1.05957927278813	0.333365886724082	201	42	0.00174304821314171	0.0462578179641454
ASV676	Treatment	L. kimchicus	0.807184182576093	0.222286688383238	201	27	0.0016709707738682	0.0462578179641454
ASV18	Age.category	D15	0.861839256319909	0.275067804564753	201	95	0.00202131984184035	0.0498110961024944
ASV25	Age.category	D15	1.13311511548481	0.368540392626856	201	75	0.00244250388720956	0.0530895887481042
ASV61	Age.category	Adult	1.23800424145706	0.403587554148225	201	27	0.00246212585498454	0.0530895887481042
ASV551	Treatment	L. kimchicus	0.890637986872391	0.26435811557283	201	24	0.0027144452033105	0.0550872703024778
ASV224	Age.category	D15	1.21443642494363	0.410376244776012	201	41	0.00350032200136054	0.0583869544855433
ASV251	Age.category	D15	1.2307022165484	0.410518594524026	201	56	0.00310293180323591	0.0583869544855433
ASV264	Treatment	L. kimchicus	0.595250867119698	0.187483755540866	201	30	0.00349130507157014	0.0583869544855433
ASV366	Treatment	L. kimchicus	0.479538075549014	0.162485386085511	201	22	0.00355398853390263	0.0583869544855433
ASV512	Treatment	L. kimchicus	0.729023071043416	0.227335381875015	201	21	0.00410088908565566	0.0643093970250546
ASV152	Age.category	Adult	1.01594737945105	0.35366777994265	201	24	0.00455466930826318	0.0683200396239477
ASV85	Treatment	L. kimchicus	1.25363410219358	0.405497206639221	201	39	0.00475537555874253	0.0683585236569238
ASV517	Age.category	Adult	0.892228038361732	0.314477065050402	201	32	0.00506047017283688	0.069834488385149
ASV306	Treatment	L. kimchicus	0.488055401146954	0.158623366579815	201	25	0.00557792934765255	0.0740148317284665
ASV27	Age.category	D15	-0.959789553968429	0.34556714383983	201	50	0.00605587009499574	0.0773805623249456
ASV385	Age.category	D15	-0.623982642947715	0.229248866331291	201	32	0.00711035656501084	0.0845887246527152
ASV513	Treatment	L. kimchicus	0.884691898812534	0.293790675396132	201	29	0.00699790015928429	0.0845887246527152
ASV512	Age.category	D15	0.502460464565121	0.191025067934179	201	21	0.00923865412739866	0.106244522465085
ASV7	Age.category	D15	-1.65737990962795	0.655573188523448	201	68	0.0123062407443898	0.136956550219822
ASV130	Age.category	D15	-0.79870283580277	0.32530556957351	201	29	0.0150128475031969	0.159308886582577
ASV444	Treatment	L. kimchicus	0.551951895934345	0.208146523856018	201	25	0.0152382413252899	0.159308886582577
ASV49	Age.category	D15	-0.754495998042503	0.3132116563957	201	26	0.0170010323185188	0.166590545440064
ASV77	Age.category	Adult	-0.422634415084875	0.176045743399234	201	55	0.0173833612633111	0.166590545440064
ASV473	Treatment	L. kimchicus	0.50875034567616	0.21104000492491	201	21	0.0168412902316583	0.166590545440064
ASV135	Treatment	L. kimchicus	1.03522960538485	0.408403654023929	201	55	0.0184761733592899	0.17227783267446
ASV28	Age.category	Adult	1.27379543947429	0.541353420512377	201	36	0.0196858082165886	0.173438724456737
ASV72	Age.category	D15	0.78064649736809	0.331566805696537	201	56	0.0196246763478009	0.173438724456737
ASV85	Age.category	D15	0.782924941324321	0.333976144087519	201	39	0.0201088376181724	0.173438724456737
ASV341	Treatment	L. kimchicus	0.987800984893979	0.396714394172375	201	44	0.020854883504617	0.175486214855924
ASV404	Treatment	L. kimchicus	0.518344240422834	0.224168092056357	201	22	0.0218061637225615	0.179122059149612
ASV192	Treatment	L. kimchicus	1.1833990417661	0.494033291090178	201	54	0.0254797129840956	0.199784113170749
ASV390	Treatment	L. kimchicus	0.629903000935349	0.267007851898182	201	23	0.0251626388523891	0.199784113170749
ASV149	Age.category	D15	-0.62016490558133	0.278112759246796	201	25	0.0269356969116834	0.20650700965624
ASV57	Age.category	D15	-0.970488808333945	0.44581355234766	201	31	0.0307617157433	0.218233473212507
ASV120	Treatment	L. kimchicus	0.868273557664404	0.378887952195561	201	32	0.0301430110586207	0.218233473212507
ASV276	Treatment	L. kimchicus	0.436983632054493	0.20110204463315	201	22	0.0309954788040952	0.218233473212507
ASV277	Treatment	L. kimchicus	0.942460158983486	0.407235662179889	201	42	0.030459603631088	0.218233473212507
ASV12	Treatment	L. kimchicus	1.21132766265843	0.544136076997605	201	53	0.0351794754206395	0.226628734905244
ASV16	Treatment	L. kimchicus	-0.738283591693954	0.329610685242187	201	28	0.035472323724299	0.226628734905244
ASV69	Age.category	Adult	-1.35945390536829	0.640113830935918	201	56	0.0350131244362824	0.226628734905244
ASV101	Treatment	L. kimchicus	1.29098741147898	0.579076463226893	201	58	0.0354693179062112	0.226628734905244
ASV385	Treatment	L. kimchicus	0.675280516426298	0.302912493644868	201	32	0.0345689875031957	0.226628734905244
ASV295	Age.category	D15	0.685651263739203	0.32498721257458	201	28	0.036231497710472	0.227270303820233
ASV277	Age.category	Adult	0.854330528069354	0.409084191082007	201	42	0.0381766347999512	0.235195339392556
ASV72	Treatment	L. kimchicus	1.23351344522796	0.568160375256548	201	56	0.0392477150171008	0.237032854657124
ASV169	Age.category	Adult	-0.221302305954598	0.106900941236585	201	33	0.0398490016525019	0.237032854657124
ASV396	Treatment	L. kimchicus	0.907805345725127	0.42226745794472	201	26	0.0412064083217679	0.240952726627287
ASV2	Age.category	D15	1.42642912786945	0.720994613110931	201	90	0.0494130007351114	0.247065003675557
ASV3	Age.category	D15	0.586193049340022	0.292577698052707	201	53	0.0466293535873313	0.247065003675557
ASV44	Age.category	D15	0.738014643338942	0.369890967571211	201	54	0.0475169108538716	0.247065003675557
ASV58	Age.category	D15	-0.705942375918065	0.353598202817691	201	66	0.0473980245752876	0.247065003675557
ASV125	Treatment	L. kimchicus	1.09687193280686	0.513973063588313	201	42	0.0434771355389199	0.247065003675557
ASV174	Treatment	L. kimchicus	0.876541524010679	0.42115818132456	201	43	0.0464354333738661	0.247065003675557
ASV287	Treatment	L. kimchicus	0.688302776126349	0.330190411450311	201	54	0.04842833247267	0.247065003675557
ASV405	Age.category	Adult	0.605716867098557	0.304086753104402	201	23	0.0478705914132755	0.247065003675557
ASV495	Treatment	L. kimchicus	0.732166117272104	0.355769254283828	201	22	0.0491665834732082	0.247065003675557
ASV583	Treatment	L. kimchicus	0.332900782643572	0.157465228625373	201	21	0.0455144566564346	0.247065003675557
