feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
KDO.NAGLIPASYN.PWY	Age.category	D15	-2.31918562713734	0.519179773851339	201	151	1.38606794595001e-05	0.0165912333130216
ECASYN.PWY	Age.category	D15	-2.47398628021564	0.60516010829763	201	145	6.50811607643527e-05	0.0228388821731345
PWY.2941	Age.category	Adult	-1.12788504631067	0.287257242334749	201	201	0.00012367367653256	0.0228388821731345
PWY.5855	Age.category	Adult	2.07731155155636	0.536786178069121	201	198	0.000152640816528886	0.0228388821731345
PWY.5856	Age.category	Adult	2.07731155155636	0.536786178069121	201	198	0.000152640816528886	0.0228388821731345
PWY.5857	Age.category	Adult	2.07731155155636	0.536786178069121	201	198	0.000152640816528886	0.0228388821731345
PWY.6708	Age.category	Adult	2.07731155155636	0.536786178069121	201	198	0.000152640816528886	0.0228388821731345
PWY0.1338	Age.category	D15	-2.27411008131313	0.562222069251562	201	148	7.72359881454811e-05	0.0228388821731345
NAGLIPASYN.PWY	Age.category	Adult	1.8617761944489	0.501712527272008	201	198	0.000275914245761784	0.0330269352176855
PWY.6467	Age.category	Adult	2.05197869827147	0.549510401396368	201	198	0.000253318796855875	0.0330269352176855
PWY.7234	Age.category	Adult	-0.703045768338834	0.194168125154761	201	201	0.000381721601196841	0.0415382506029653
GLUCOSE1PMETAB.PWY	Age.category	D15	-1.70751865415673	0.495600610474825	201	180	0.000709573526850306	0.0465369845481595
PWY.5676	Age.category	Adult	1.92942920771608	0.547143261555084	201	183	0.000535643997725358	0.0465369845481595
PWY.5910	Age.category	D15	0.961465901072435	0.278824176592809	201	201	0.000704298965065683	0.0465369845481595
PWY.6122	Age.category	Adult	-0.608753636919572	0.177346320421994	201	201	0.00073868229441523	0.0465369845481595
PWY.6123	Age.category	Adult	-0.610847131273866	0.173235397809463	201	201	0.000532629595349772	0.0465369845481595
PWY.6277	Age.category	Adult	-0.608753636919572	0.177346320421994	201	201	0.00073868229441523	0.0465369845481595
PWY.922	Age.category	D15	1.02172723227844	0.296973765151184	201	201	0.000723798089033083	0.0465369845481595
PWY0.1241	Age.category	Adult	1.90981470951661	0.552736711848235	201	195	0.000686267621148741	0.0465369845481595
PWY.6121	Age.category	Adult	-0.591834971795778	0.175229616559644	201	201	0.000892452433293537	0.0534132781326182
PWY.6471	Age.category	Adult	-0.818182722244101	0.24419972345649	201	201	0.000986126237721769	0.0562091955501408
ANAEROFRUCAT.PWY	Age.category	Adult	-0.551497937062079	0.167198779753235	201	201	0.00117131925584361	0.0588961689226759
ANAGLYCOLYSIS.PWY	Age.category	Adult	-0.428842101514722	0.129398485222067	201	201	0.0011072132821727	0.0588961689226759
PPGPPMET.PWY	Age.category	Adult	2.06592880236403	0.629756425612348	201	193	0.00124589424569334	0.0588961689226759
PWY.5100	Age.category	Adult	-0.699191163775657	0.21343955074782	201	201	0.00126315808938279	0.0588961689226759
PWY.6588	Age.category	Adult	1.87487349015272	0.572903323688944	201	189	0.00127928186465294	0.0588961689226759
PWY.6317	Age.category	Adult	-0.693947583774897	0.217144285798887	201	201	0.00164830949933034	0.0730750544703118
PWY.1269	Age.category	Adult	1.36749820641482	0.435307001880773	201	200	0.0019661200517921	0.0816930794670583
PWY.5920	Age.category	Adult	1.4557774708131	0.466231702386059	201	198	0.00209615993552123	0.0816930794670583
PYRIDNUCSAL.PWY	Age.category	Adult	1.2529540318044	0.40140445842742	201	201	0.00210312613131627	0.0816930794670583
UDPNAGSYN.PWY	Age.category	Adult	-0.278590638979284	0.0892959435254659	201	201	0.00211569378736742	0.0816930794670583
PWY.6269	Age.category	Adult	1.63577915094507	0.530405002677933	201	193	0.00236964915850342	0.0886396888352685
DHGLUCONATE.PYR.CAT.PWY	Age.category	D15	-1.47305264318688	0.48306898457609	201	92	0.00262859902755243	0.0898980867422933
PWY.5484	Age.category	Adult	-0.475034274875216	0.155113922460259	201	201	0.00253098403797739	0.0898980867422933
PWY.5509	Age.category	Adult	1.61037155780308	0.526975426324564	201	194	0.00259117923062453	0.0898980867422933
GLYCOLYSIS	Age.category	Adult	-0.406397963152191	0.13372736245275	201	201	0.00272553353617693	0.090623990077883
PWY.5647	Age.category	Adult	-2.27924985888013	0.754722827772011	201	146	0.00289685479772569	0.0929692543823472
PWY.6147	Age.category	Adult	1.12755265757687	0.374010651953779	201	201	0.00295140490102689	0.0929692543823472
PWY.5654	Age.category	Adult	-2.21337107152224	0.738756845511884	201	162	0.00312498663129344	0.0959130512220063
AST.PWY	Age.category	D15	-1.55529340974737	0.5208460908638	201	163	0.00321730828101715	0.0962779503094382
X3.HYDROXYPHENYLACETATE.DEGRADATION.PWY	Age.category	D15	-1.6476676356697	0.558590520899124	201	168	0.00359813725270293	0.102546911702034
PWY.7539	Age.category	Adult	1.10157829875757	0.37276961154681	201	201	0.00355272167583353	0.102546911702034
GLUCONEO.PWY	Age.category	Adult	0.740605789965431	0.257964060428374	201	201	0.00458761908280219	0.107773647403146
KETOGLUCONMET.PWY	Age.category	D15	-1.48742392692027	0.517090154360851	201	169	0.00450395978369832	0.107773647403146
METH.ACETATE.PWY	Age.category	Adult	-2.12619803698884	0.735374447562827	201	108	0.00430921276864291	0.107773647403146
PWY.4722	Age.category	D15	-0.825128339241751	0.284182678855603	201	36	0.00413272107616702	0.107773647403146
PWY.5384	Age.category	D15	-1.49617661446932	0.511609854336444	201	181	0.00389610166420384	0.107773647403146
PWY.5392	Age.category	Adult	-1.99087047776374	0.693499538217409	201	138	0.0045918596637932	0.107773647403146
PWY.6071	Age.category	D15	-1.35021663375811	0.46731860233339	201	178	0.00432900279801292	0.107773647403146
PWY.7242	Age.category	Adult	1.35254517070869	0.465727410530812	201	200	0.00414431393673833	0.107773647403146
PWY0.1533	Age.category	Adult	1.75909456199279	0.604199551853148	201	189	0.00405751406625287	0.107773647403146
PWY0.1479	Age.category	D15	-1.19544420798819	0.418002914391188	201	180	0.00473773541853138	0.109059024922732
ASPASN.PWY	Age.category	Adult	1.132749199593	0.40480441252801	201	200	0.00570534074857459	0.11461475276527
HEME.BIOSYNTHESIS.II	Age.category	Adult	1.16306602410062	0.415952155282719	201	201	0.0057451003892366	0.11461475276527
PWY.5918	Age.category	Adult	1.10341823624495	0.392996883979334	201	201	0.00555226921534948	0.11461475276527
PWY.6629	Age.category	D15	-1.26894299294354	0.453165614773227	201	73	0.00565196846674773	0.11461475276527
PWY.6892	Age.category	Adult	1.7012308197466	0.604274686360341	201	194	0.00543197075962356	0.11461475276527
PWY0.845	Age.category	D15	-1.14891521350534	0.406461973362899	201	172	0.00523629374519196	0.11461475276527
PYRIDOXSYN.PWY	Age.category	D15	-1.20738003937804	0.427648953344301	201	172	0.00528767084692018	0.11461475276527
UBISYN.PWY	Age.category	Adult	1.46648674113945	0.516917806431727	201	198	0.00508532803090384	0.11461475276527
P261.PWY	Age.category	Adult	-2.39940832769916	0.862151720095871	201	104	0.00595715191379604	0.116896899029735
PWY.5655	Age.category	Adult	-2.2336639358207	0.807114953276664	201	142	0.00624314730302538	0.120533021318087
PWY.5507	Treatment	L. kimchicus	2.06807184633362	0.696330612838448	201	140	0.00663491683397478	0.124093678910435
PWY.5651	Age.category	Adult	-2.09287622793362	0.760755226048271	201	154	0.00655263753326058	0.124093678910435
NADSYN.PWY	Age.category	Adult	-2.00281559047186	0.73127388210771	201	154	0.00679178986179454	0.125073422531816
DAPLYSINESYN.PWY	Age.category	Adult	0.894208896253846	0.328824666900146	201	201	0.00719179257236623	0.127724274710683
