rowname,Nest,Sample.ID,Bird.ID,Date,Day,Ring.Mark,Colour.Ring,pit.Tag,Site,Chick.LetterID,Age.code,Age.category,Sex,feather.Size,Wing_mm,Tarsus_mm,Weight_g,Faecal.Sample,Breeding,newRing,Treatment,Notes,Main.sample,Plate,Plate_sample_no.,Plate_well,Azenta_ID,Azenta_noPeriod,Qubit_prePCR,Qubit_prePool,Date_extracted,SampleType,Extraction_notes,LibPrep_notes,Ring.Mark.lab,Post_lab_notes,NumberOfReads,DistanceToEdge,BroodSize.D8,BroodSize.D15,firstEggLayDate,lastEggLayDate,Observed,Chao1,se.chao1,Shannon
CB02xAxD8xP1,CB2,CB2.A.D8,CB2.A,27/05/2021,88,PF91002,NA,NA,CB,A,1,D8,NA,FS,21,16,11.3,D8,NA,Y,Control,NA,Main,1,50,E2,CB02.A.D8,CB02xAxD8xP1,12.6,40.8,23/09/2022,main,,,PF91002,NA,35243,27.07425226,4,4,64,67,28,28,0,1.465250275
CB20xFexP3,KB20,KB20.Fe,KB20.Fe,25/05/2021,86,VZ80567,YM3,01105E17F1,KB,Fe,6,Adult,F,NA,70,21.2,17.4,Adult,NA,N,L. kimchicus,NA,Main,3,76,G4,CB20.Fe,CB20xFexP3,0,16.8,NA,repeat.swapIn,,repeat,VZ80567,NA,11647,44.65107509,4,4,57,60,211,211,0.234160755,3.473621833
CB23xAxD15xP1,CB23,CB23.A.D15,CB23.A,03/06/2021,95,PF91006,NA,NA,CB,A,1,D15,NA,FM,50,20,19,D15,NA,N,Control,NA,Main,1,56,E8,CB23.A.D15,CB23xAxD15xP1,1.81,20.9,23/09/2022,main,,,PF91006,NA,12265,42.34661884,4,4,61,64,561,561.0089286,1.263440344,4.412620496
CB23xBxD15xP3,CB23,CB23.B.D15,CB23.B,03/06/2021,95,PF91007,NA,NA,CB,B,1,D15,NA,FM,47,19.3,18.1,D15,NA,N,Control,NA,Main,3,20,B8,CB23.B.D15,CB23xBxD15xP3,1.42,27.7,04/10/2022,main,,,PF91007,NA,12156,42.34661884,4,4,61,64,304,304,0.166810038,3.432185652
CB23xCxD15xP3,CB23,CB23.C.D15,CB23.C,03/06/2021,95,PF91008,NA,NA,CB,C,1,D15,NA,FM,48,19.4,17.7,D15,NA,N,Control,NA,Main,3,8,A8,CB23.C.D15,CB23xCxD15xP3,2.45,23.4,04/10/2022,main,,,PF91008,NA,14091,42.34661884,4,4,61,64,638,638,1.075652976,4.678842222
CB23xCxD8xP2,CB23,CB23.C.D8,CB23.C,27/05/2021,88,PF91008,NA,NA,CB,C,1,D8,NA,FS,22,NA,12.2,D8,NA,Y,Control,Heavy rain so skipped tarsus measurement,Main,2,14,B2,CB23.C.D8,CB23xCxD8xP2,0.266,19.2,28/09/2022,main,,,PF91008,NA,31119,42.34661884,4,4,61,64,183,183.0769231,0.322386676,2.303150947
CB23xDxD15xP2,CB23,CB23.D.D15,CB23.D,03/06/2021,95,PF91009,NA,NA,CB,D,1,D15,NA,FM,48,20,18.1,D15,NA,N,Control,NA,Main,2,68,F8,CB23.D.D15,CB23xDxD15xP2,0.368,30.5,30/09/2022,main,,,PF91009,NA,30869,42.34661884,4,4,61,64,503,503,0.313024993,3.466608305
CB23xDxD8xP1,CB23,CB23.D.D8,CB23.D,27/05/2021,88,PF91009,NA,NA,CB,D,1,D8,NA,FS,22,NA,13.4,D8,NA,Y,Control,Heavy rain so skipped tarsus measurement,Main,1,91,H7,CB23.D.D8,CB23xDxD8xP1,1.1,36.6,27/09/2022,main,,,PF91009,NA,17656,42.34661884,4,4,61,64,114,114,0,2.516530537
CB26xAxD8xP1,CB26,CB26.A.D8,CB26.A,21/05/2021,82,TX52571,NA,NA,CB,A,1,D8,NA,NA,21,16.5,NA,D8,NA,Y,Control,NA,Main,1,82,G10,CB26.A.D8,CB26xAxD8xP1,2.5,21.5,27/09/2022,main,,,TX52571,NA,22468,33.03736257,4,2,54,59,483,483,0.925979558,3.538538941
CB26xBxD15xP2,CB26,CB26.B.D15,CB26.B,28/05/2021,89,TX52570,NA,NA,CB,B,1,D15,NA,FS,43,19.5,15.7,D15,NA,N,Control,NA,Main,2,44,D8,CB26.B.D15,CB26xBxD15xP2,14.5,29.6,29/09/2022,main,,,TX52570,NA,32533,33.03736257,4,2,54,59,70,70,0,1.524125989
