"","qseqid","sseqid","pident","length","mismatch","gapopen","qstart","qend","sstart","send","evalue","bitscore"
"1","ASV7","NODE_20_length_935_cov_380.679455",91.422,443,36,2,1,442,493,52,2.27e-174,606
"2","ASV7","NODE_32_length_255_cov_157.070312",93.421,76,5,0,367,442,1,76,6.04e-26,113
"3","ASV7","NODE_19_length_1017_cov_348.064045",93.421,76,5,0,367,442,1,76,6.04e-26,113
"4","ASV17","NODE_20_length_935_cov_380.679455",84.106,302,44,4,119,418,351,52,8.82e-79,289
"5","ASV19","NODE_20_length_935_cov_380.679455",90.787,445,35,6,1,442,493,52,2.29e-169,590
"6","ASV19","NODE_32_length_255_cov_157.070312",94.737,76,4,0,367,442,1,76,1.3e-27,119
"7","ASV19","NODE_19_length_1017_cov_348.064045",94.737,76,4,0,367,442,1,76,1.3e-27,119
"8","ASV20","NODE_20_length_935_cov_380.679455",91.928,446,28,8,1,442,493,52,1.05e-177,617
"9","ASV20","NODE_32_length_255_cov_157.070312",96.053,76,3,0,367,442,1,76,2.79e-29,124
"10","ASV20","NODE_19_length_1017_cov_348.064045",96.053,76,3,0,367,442,1,76,2.79e-29,124
"11","ASV25","NODE_20_length_935_cov_380.679455",87.64,445,49,4,1,442,493,52,5.1e-146,512
"12","ASV27","NODE_20_length_935_cov_380.679455",100,442,0,0,1,442,493,52,0,817
"13","ASV27","NODE_32_length_255_cov_157.070312",100,76,0,0,367,442,1,76,2.77e-34,141
"14","ASV27","NODE_19_length_1017_cov_348.064045",100,76,0,0,367,442,1,76,2.77e-34,141
"15","ASV39","NODE_20_length_935_cov_380.679455",80,295,57,2,129,422,345,52,4.27e-57,217
"16","ASV39","NODE_32_length_255_cov_157.070312",85.333,75,11,0,348,422,2,76,2.1e-15,78.7
"17","ASV39","NODE_19_length_1017_cov_348.064045",85.333,75,11,0,348,422,2,76,2.1e-15,78.7
"18","ASV41","NODE_20_length_935_cov_380.679455",92.76,442,32,0,1,442,493,52,0,640
"19","ASV41","NODE_32_length_255_cov_157.070312",94.737,76,4,0,367,442,1,76,1.3e-27,119
"20","ASV41","NODE_19_length_1017_cov_348.064045",94.737,76,4,0,367,442,1,76,1.3e-27,119
"21","ASV46","NODE_20_length_935_cov_380.679455",81.145,297,51,4,129,423,345,52,4.25e-62,233
"22","ASV48","NODE_20_length_935_cov_380.679455",91.629,442,37,0,1,442,493,52,4.89e-176,612
"23","ASV50","NODE_20_length_935_cov_380.679455",80.313,447,77,11,1,441,493,52,1.98e-90,327
"24","ASV53","NODE_20_length_935_cov_380.679455",83.371,445,67,6,1,441,493,52,8.88e-114,405
"25","ASV54","NODE_20_length_935_cov_380.679455",91.48,446,30,8,1,442,493,52,2.27e-174,606
"26","ASV54","NODE_32_length_255_cov_157.070312",94.737,76,4,0,367,442,1,76,1.3e-27,119
"27","ASV54","NODE_19_length_1017_cov_348.064045",94.737,76,4,0,367,442,1,76,1.3e-27,119
"28","ASV60","NODE_20_length_935_cov_380.679455",90.562,445,36,6,1,442,493,52,1.07e-167,584
"29","ASV60","NODE_32_length_255_cov_157.070312",94.737,76,4,0,367,442,1,76,1.3e-27,119
"30","ASV60","NODE_19_length_1017_cov_348.064045",94.737,76,4,0,367,442,1,76,1.3e-27,119
"31","ASV62","NODE_20_length_935_cov_380.679455",91.48,446,30,8,1,442,493,52,2.27e-174,606
"32","ASV62","NODE_32_length_255_cov_157.070312",94.737,76,4,0,367,442,1,76,1.3e-27,119
"33","ASV62","NODE_19_length_1017_cov_348.064045",94.737,76,4,0,367,442,1,76,1.3e-27,119
"34","ASV67","NODE_20_length_935_cov_380.679455",92.325,443,32,2,1,442,493,52,0,628
"35","ASV67","NODE_32_length_255_cov_157.070312",94.737,76,4,0,367,442,1,76,1.3e-27,119
"36","ASV67","NODE_19_length_1017_cov_348.064045",94.737,76,4,0,367,442,1,76,1.3e-27,119
"37","ASV68","NODE_20_length_935_cov_380.679455",79.932,294,59,0,143,436,345,52,4.41e-57,217
"38","ASV73","NODE_20_length_935_cov_380.679455",91.704,446,29,8,1,442,493,52,4.89e-176,612
"39","ASV79","NODE_20_length_935_cov_380.679455",82.724,301,50,2,118,417,351,52,4.12e-72,267
"40","ASV80","NODE_20_length_935_cov_380.679455",91.855,442,36,0,1,442,493,52,1.05e-177,617
"41","ASV80","NODE_32_length_255_cov_157.070312",94.737,76,4,0,367,442,1,76,1.3e-27,119
"42","ASV80","NODE_19_length_1017_cov_348.064045",94.737,76,4,0,367,442,1,76,1.3e-27,119
"43","ASV81","NODE_20_length_935_cov_380.679455",79.661,295,58,2,129,422,345,52,1.98e-55,211
"44","ASV83","NODE_20_length_935_cov_380.679455",92.081,442,35,0,1,442,493,52,2.26e-179,623
"45","ASV84","NODE_20_length_935_cov_380.679455",85.667,300,43,0,118,417,351,52,4.04e-87,316
"46","ASV95","NODE_20_length_935_cov_380.679455",91.196,443,37,2,1,442,493,52,1.06e-172,601
"47","ASV95","NODE_32_length_255_cov_157.070312",93.421,76,5,0,367,442,1,76,6.04e-26,113
"48","ASV95","NODE_19_length_1017_cov_348.064045",93.421,76,5,0,367,442,1,76,6.04e-26,113
"49","ASV100","NODE_20_length_935_cov_380.679455",92.135,445,29,6,1,442,493,52,2.26e-179,623
"50","ASV103","NODE_20_length_935_cov_380.679455",81.879,447,71,10,1,442,493,52,1.17e-102,368
"51","ASV109","NODE_20_length_935_cov_380.679455",88.09,445,47,4,1,442,493,52,2.36e-149,523
"52","ASV110","NODE_20_length_935_cov_380.679455",91.855,442,36,0,1,442,493,52,1.05e-177,617
"53","ASV111","NODE_20_length_935_cov_380.679455",90.787,445,35,6,1,442,493,52,2.29e-169,590
"54","ASV111","NODE_32_length_255_cov_157.070312",94.737,76,4,0,367,442,1,76,1.3e-27,119
"55","ASV111","NODE_19_length_1017_cov_348.064045",94.737,76,4,0,367,442,1,76,1.3e-27,119
"56","ASV114","NODE_20_length_935_cov_380.679455",86.966,445,52,4,1,442,493,52,5.14e-141,496
"57","ASV116","NODE_20_length_935_cov_380.679455",82.373,295,50,2,129,422,345,52,9.04e-69,255
"58","ASV120","NODE_20_length_935_cov_380.679455",81.017,295,54,2,129,422,345,52,4.24e-62,233
"59","ASV122","NODE_20_length_935_cov_380.679455",88.591,447,41,10,1,442,493,52,1.09e-152,534
"60","ASV126","NODE_20_length_935_cov_380.679455",91.196,443,37,2,1,442,493,52,1.06e-172,601
"61","ASV126","NODE_32_length_255_cov_157.070312",94.737,76,4,0,367,442,1,76,1.3e-27,119
"62","ASV126","NODE_19_length_1017_cov_348.064045",94.737,76,4,0,367,442,1,76,1.3e-27,119
"63","ASV127","NODE_20_length_935_cov_380.679455",84.106,302,44,4,119,418,351,52,8.82e-79,289
"64","ASV128","NODE_20_length_935_cov_380.679455",77.181,447,91,9,1,441,493,52,4.4e-67,250
"65","ASV130","NODE_20_length_935_cov_380.679455",86.966,445,52,6,1,442,493,52,5.14e-141,496
"66","ASV132","NODE_20_length_935_cov_380.679455",82.724,301,50,2,118,417,351,52,4.12e-72,267
"67","ASV142","NODE_20_length_935_cov_380.679455",85.301,449,52,14,1,442,493,52,1.13e-127,451
"68","ASV144","NODE_20_length_935_cov_380.679455",91.928,446,28,8,1,442,493,52,1.05e-177,617
"69","ASV144","NODE_32_length_255_cov_157.070312",96.053,76,3,0,367,442,1,76,2.79e-29,124
"70","ASV144","NODE_19_length_1017_cov_348.064045",96.053,76,3,0,367,442,1,76,2.79e-29,124
"71","ASV147","NODE_20_length_935_cov_380.679455",78.251,446,83,14,1,436,493,52,2.58e-74,274
"72","ASV148","NODE_20_length_935_cov_380.679455",92.081,442,35,0,1,442,493,52,2.26e-179,623
"73","ASV148","NODE_32_length_255_cov_157.070312",94.737,76,4,0,367,442,1,76,1.3e-27,119
"74","ASV148","NODE_19_length_1017_cov_348.064045",94.737,76,4,0,367,442,1,76,1.3e-27,119
"75","ASV151","NODE_20_length_935_cov_380.679455",82.373,295,50,2,129,422,345,52,9.04e-69,255
"76","ASV156","NODE_20_length_935_cov_380.679455",84,300,48,0,118,417,351,52,8.8e-79,289
"77","ASV158","NODE_20_length_935_cov_380.679455",83.775,302,45,4,119,418,351,52,4.1e-77,283
"78","ASV165","NODE_20_length_935_cov_380.679455",94.344,442,25,0,1,442,493,52,0,678
"79","ASV165","NODE_32_length_255_cov_157.070312",97.368,76,2,0,367,442,1,76,6e-31,130
"80","ASV165","NODE_19_length_1017_cov_348.064045",97.368,76,2,0,367,442,1,76,6e-31,130
"81","ASV166","NODE_20_length_935_cov_380.679455",95.349,301,12,2,119,418,351,52,1.75e-135,477
"82","ASV166","NODE_32_length_255_cov_157.070312",94.737,76,4,0,343,418,1,76,1.22e-27,119
"83","ASV166","NODE_19_length_1017_cov_348.064045",94.737,76,4,0,343,418,1,76,1.22e-27,119
"84","ASV168","NODE_20_length_935_cov_380.679455",87.64,445,49,3,1,442,493,52,5.1e-146,512
"85","ASV170","NODE_20_length_935_cov_380.679455",91.422,443,37,1,1,443,493,52,2.28e-174,606
"86","ASV170","NODE_32_length_255_cov_157.070312",94.737,76,4,0,368,443,1,76,1.3e-27,119
"87","ASV170","NODE_19_length_1017_cov_348.064045",94.737,76,4,0,368,443,1,76,1.3e-27,119
"88","ASV172","NODE_20_length_935_cov_380.679455",89.91,446,37,8,1,442,493,52,1.07e-162,568
"89","ASV172","NODE_32_length_255_cov_157.070312",93.421,76,5,0,367,442,1,76,6.04e-26,113
"90","ASV172","NODE_19_length_1017_cov_348.064045",93.421,76,5,0,367,442,1,76,6.04e-26,113
"91","ASV173","NODE_20_length_935_cov_380.679455",84.068,295,45,2,129,422,345,52,4.15e-77,283
"92","ASV174","NODE_20_length_935_cov_380.679455",87.043,301,36,3,118,416,351,52,3.09e-93,337
"93","ASV175","NODE_20_length_935_cov_380.679455",93.228,443,28,2,1,442,493,52,0,651
"94","ASV175","NODE_32_length_255_cov_157.070312",94.737,76,4,0,367,442,1,76,1.3e-27,119
"95","ASV175","NODE_19_length_1017_cov_348.064045",94.737,76,4,0,367,442,1,76,1.3e-27,119
"96","ASV178","NODE_20_length_935_cov_380.679455",92.809,445,26,6,1,442,493,52,0,640
