locus_tag	ftype	length_bp	gene	EC_number	COG	product
54138_Lkimchicus_00001	tRNA	75				tRNA-Asn(gtt)
54138_Lkimchicus_00002	tRNA	94				tRNA-Ser(gga)
54138_Lkimchicus_00003	tRNA	74				tRNA-Glu(ttc)
54138_Lkimchicus_00004	tRNA	75				tRNA-Val(tac)
54138_Lkimchicus_00005	tRNA	76				tRNA-Asp(gtc)
54138_Lkimchicus_00006	tRNA	75				tRNA-Phe(gaa)
54138_Lkimchicus_00007	tRNA	86				tRNA-Tyr(gta)
54138_Lkimchicus_00008	tRNA	73				tRNA-Trp(cca)
54138_Lkimchicus_00009	tRNA	76				tRNA-His(gtg)
54138_Lkimchicus_00010	tRNA	74				tRNA-Gln(ttg)
54138_Lkimchicus_00011	tRNA	71				tRNA-Cys(gca)
54138_Lkimchicus_00012	tRNA	88				tRNA-Leu(caa)
54138_Lkimchicus_00013	CDS	414				hypothetical protein
54138_Lkimchicus_00014	CDS	387				hypothetical protein
54138_Lkimchicus_00015	CDS	726				hypothetical protein
54138_Lkimchicus_00016	CDS	1206	metK	2.5.1.6		S-adenosylmethionine synthase
54138_Lkimchicus_00017	CDS	1467	bmr3_1			Multidrug resistance protein 3
54138_Lkimchicus_00018	CDS	246				hypothetical protein
54138_Lkimchicus_00019	CDS	567				hypothetical protein
54138_Lkimchicus_00020	CDS	2421	leuS	6.1.1.4		Leucine--tRNA ligase
54138_Lkimchicus_00021	CDS	480	purE	5.4.99.18	COG0041	N5-carboxyaminoimidazole ribonucleotide mutase
54138_Lkimchicus_00022	CDS	1122	purK_1	6.3.4.18		N5-carboxyaminoimidazole ribonucleotide synthase
54138_Lkimchicus_00023	CDS	723	purC	6.3.2.6		Phosphoribosylaminoimidazole-succinocarboxamide synthase
54138_Lkimchicus_00024	CDS	261	purS	6.3.5.3	COG1828	Phosphoribosylformylglycinamidine synthase subunit PurS
54138_Lkimchicus_00025	CDS	672	purQ	6.3.5.3	COG0047	Phosphoribosylformylglycinamidine synthase subunit PurQ
54138_Lkimchicus_00026	CDS	2211	purL	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase subunit PurL
54138_Lkimchicus_00027	CDS	1449	purF	2.4.2.14	COG0034	Amidophosphoribosyltransferase
54138_Lkimchicus_00028	CDS	1023	purM	6.3.3.1	COG0150	Phosphoribosylformylglycinamidine cyclo-ligase
54138_Lkimchicus_00029	CDS	579	purN	2.1.2.2		Phosphoribosylglycinamide formyltransferase
54138_Lkimchicus_00030	CDS	1527	purH			Bifunctional purine biosynthesis protein PurH
54138_Lkimchicus_00031	CDS	1251	purD	6.3.4.13	COG0151	Phosphoribosylamine--glycine ligase
54138_Lkimchicus_00032	CDS	900				hypothetical protein
54138_Lkimchicus_00033	CDS	564	lemA		COG1704	Protein LemA
54138_Lkimchicus_00034	CDS	888	htpX	3.4.24.-	COG0501	Protease HtpX homolog
54138_Lkimchicus_00035	CDS	717				hypothetical protein
54138_Lkimchicus_00036	CDS	1665	murJ		COG2244	Lipid II flippase MurJ
54138_Lkimchicus_00037	CDS	831	nnrD	4.2.1.136	COG0063	ADP-dependent (S)-NAD(P)H-hydrate dehydratase
